Model,CV_R2,CV_RMSE,CV_MAE,CV_MAPE,Test_R2,Test_RMSE,Test_MAE,Overall_Rank
Bayesian Ridge,0.7892463181831861,67.45976408243845,51.38677067649903,1.1348552626689785,0.9769074940673366,108.33649940541063,74.44872905283998,1
Lasso Regression,0.4404145497321643,112.37235698299678,92.09954288400148,1.9690646407887862,0.9742073111636983,114.49527800167557,84.49374210879786,2
Ridge Regression,0.4348326312473182,110.15991035519214,89.28973453927966,1.9435169876083727,0.9725607725501823,118.09328576481457,88.87093876805085,3
XGBoost,-0.8496582968067109,168.780648034501,143.61403534381253,3.158365728379901,-0.8045749883501403,957.6939268151472,720.4389140396341,4
Random Forest,-1.0114715796232931,180.12630253904047,152.5512710459626,3.308228271882002,-0.5537747104180057,888.6552086826933,639.0827450140247,5
Linear Regression,-1.7691760247168609,251.87259873209305,218.69503613213215,4.617129183770087,0.9708266281272244,121.767833892587,92.79209617549189,6
SVR,-14.058937888423742,441.9883450442088,417.4073842664934,9.328138700575966,-6.5019199286368545,1952.6548242161746,1817.9467118965183,7
